"Variable","Geschlecht_group","n","Mittelwert","SD"
"Instagram_Nutzung","1",100,3.87,0.418148878808116
"Instagram_Nutzung","2",34,3.73529411764706,0.790428481015654
"Instagram_Nutzung",NA,18,3.61111111111111,0.978527638786601
"attitude_ugc","1",100,3.25333333333333,0.922496004146112
"attitude_ugc","2",34,3.20588235294118,0.832887581317844
"attitude_ugc",NA,0,NA,NA
"info_quality","1",100,4.12666666666667,0.711899815143498
"info_quality","2",34,3.8921568627451,0.623450743737868
"info_quality",NA,1,4,NA
"purchase_intent","1",99,2.64309764309764,0.888644060284399
"purchase_intent","2",34,2.27450980392157,0.940916482213112
"purchase_intent",NA,0,NA,NA
"trustworthiness","1",100,3.96,0.717459040466754
"trustworthiness","2",34,3.6,0.796963935916497
"trustworthiness",NA,1,3.8,NA
