"Term","Schaetzung","Std_Fehler","t_Wert","p_Wert","Modell"
"(Intercept)",0.716369794175772,0.46954973643084,1.525652638251,0.129582921297252,"UGC_x_Alter"
"attitude_c",0.34941466289239,0.0834201695117596,4.18861127875236,5.21051730586311e-05,"UGC_x_Alter"
"age_c",0.00238181364028655,0.00701645336388881,0.339461194532397,0.734823034542841,"UGC_x_Alter"
"trustworthiness",0.154229357654138,0.106672175465241,1.4458255583659,0.150689396329067,"UGC_x_Alter"
"info_quality",0.302453692064342,0.111824707576225,2.70471256862601,0.00777440772869914,"UGC_x_Alter"
"attitude_c:age_c",0.00787678492808473,0.00738446656432915,1.06666945533124,0.288144670381292,"UGC_x_Alter"
"(Intercept)",0.745963053299114,0.470822617012412,1.58438236895372,0.115593728405161,"UGC_x_Instagram"
"attitude_c",0.362841477996632,0.0822871282019867,4.40945608292443,2.1847346314149e-05,"UGC_x_Instagram"
"instagram_c",-0.0964100191775076,0.124153765481035,-0.776537214187308,0.438875725231677,"UGC_x_Instagram"
"trustworthiness",0.165774129234783,0.106624609508676,1.55474547572711,0.122495212526118,"UGC_x_Instagram"
"info_quality",0.286072822779315,0.112555036866169,2.54162613015233,0.0122364403637907,"UGC_x_Instagram"
"attitude_c:instagram_c",0.119568415767057,0.166834280162573,0.716689733372197,0.474881490091763,"UGC_x_Instagram"
